State County,City,Property Name,Property Numbe Site Number Category,Division District,Property Name Property Numbe Site Number,Unnamed: 0,Category,Property Numbe Site Number
AK Kodiak Island Borough,KODIAK,FORT TIDBALL/LONG ISLAND,,POD POA,,,CON/HTRW,F10AK0280 02
AK Kodiak Island Borough,KODIAK,FORT TIDBALL/LONG ISLAND,,POD POA,,,HTRW,F10AK0280 03
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 01
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 02
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 04
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 05
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 06
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,CON/HTRW,F10AK1007 07
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,CON/HTRW,F10AK1007 08
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 09
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 10
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 11
AK Kodiak Island Borough,KODIAK,KODIAK NAVY/ARMY,,POD POA,,,HTRW,F10AK1007 12
AK Kodiak Island Borough,KODIAK,SITKINAK ISL RADIO REL,,POD POA,,,BD/DR,F10AK0287 01
AK Kodiak Island Borough,KODIAK ISLAND,BRUHN PT. (KODIAK ISL),,POD POA,,,HTRW,F10AK0901 03
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,BD/DR,F10AK0902 01
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 03
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,CON/HTRW,F10AK0902 04
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 05
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 06
AK Kodiak Island Borough,KODIAK ISLAND,BUSKIN BCH-KODIAK ISL,,POD POA,,,HTRW,F10AK0902 07
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,BD/DR,F10AK0291 01
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 02
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,HTRW,F10AK0291 03
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 05
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 06
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 07
AK Kodiak Island Borough,"KODIAK, SW. OF",BURMA ROAD,,POD POA,,,MMRP,F10AK0291 08
AK Kodiak Island Borough,"KODIAK, SW. OF",KODIAK CG SUP CNTR,,POD POA,,,BD/DR,F10AK0840 01
AK Northwest Arctic Borough,"KOTZEBUE, NW.",KRUSENSTERN RR ANX,,POD POA,,,BD/DR,F10AK0035 01
,OF,,,,,,,
AK Northwest Arctic Borough,"KOTZEBUE, NW.",KRUSENSTERN RR ANX,,POD POA,,,CON/HTRW,F10AK0035 02
AK Northwest Arctic Borough,"KOTZEBUE, NW.",KRUSENSTERN RR ANX,,POD POA,,,HTRW,F10AK0035 03
,OF,,,,,,,
AK Matanuska-susitna Borough,LAKE LOUISE,LAKE LOUISE AIRFIELD,,POD POA,,,CON/HTRW,F10AK0997 01
AK Yukon-koyukuk Census Area,MCGRATH,"WALSETH AFB,MCGRATH",,POD POA,,,CON/HTRW,F10AK0247 02
AK Yukon-koyukuk Census Area,MCGRATH,"WALSETH AFB,MCGRATH",,POD POA,,,HTRW,F10AK0247 03
AK Prince Of Wales-outer,"METLAKATLA, S.",ANNETTE ISL LAND FLD,,POD POA,,,CON/HTRW,F10AK0051 01
Ketchikan Census Area,OF,,,,,,,
AK Prince Of Wales-outer,"METLAKATLA, S.",ANNETTE ISL LAND FLD,,POD POA,,,HTRW,F10AK0051 02
Ketchikan Census Area,OF,,,,,,,
AK North Slope Borough,NEAR KAKTOVIK,GRIFFIN POINT DEW,,POD POA,,,CON/HTRW,F10AK0008 02
AK North Slope Borough,NEAR KAKTOVIK,GRIFFIN POINT DEW,,POD POA,,,HTRW,F10AK0008 03
AK Kodiak Island Borough,NEAR KODIAK,FORT SMITH/LITTLE NS,,POD POA,,,BD/DR,F10AK0282 01
AK Kodiak Island Borough,NEAR KODIAK,FORT SMITH/LITTLE NS,,POD POA,,,CON/HTRW,F10AK0282 02
AK Kodiak Island Borough,NEAR KODIAK,FORT SMITH/LITTLE NS,,POD POA,,,HTRW,F10AK0282 03
AK Southeast Fairbanks Census,NO CITY,CANOL PIPELINE,,POD POA,,,HTRW,F10AK1033 01
Area,,,,,,,,
AK Nome Census Area,"NOME, EAST OF",MOSES POINT GARRISON,,POD POA,,,BD/DR,F10AK0162 01
AK Nome Census Area,"NOME, EAST OF",MOSES POINT GARRISON,,POD POA,,,CON/HTRW,F10AK0162 02
AK Nome Census Area,"NOME, EAST OF",MOSES POINT GARRISON,,POD POA,,,HTRW,F10AK0162 03
AK Nome Census Area,"NOME, NORTH OF",KOUGAROK AFB,,POD POA,,,BD/DR,F10AK0142 01
AK Nome Census Area,"NOME, NORTH OF",KOUGAROK AFB,,POD POA,,,CON/HTRW,F10AK0142 02
AK Nome Census Area,"NOME, NORTH OF",KOUGAROK AFB,,POD POA,,,HTRW,F10AK0142 03
AK Nome Census Area,"NOME, NORTH OF",LAVA LK WEATHER STA,,POD POA,,,BD/DR,F10AK0061 01
AK Nome Census Area,"NOME, NORTH OF",LAVA LK WEATHER STA,,POD POA,,,CON/HTRW,F10AK0061 02
AK Nome Census Area,"NOME, NORTH OF",LAVA LK WEATHER STA,,POD POA,,,HTRW,F10AK0061 03
AK Nome Census Area,"NOME,",PORT CLARENCE LORAN ST,,POD POA,,,BD/DR,F10AK0843 01
,NORTHWEST OF,,,,,,,
AK Nome Census Area,"NOME, NW. OF",CAPE PRINCE WALES AWS,,POD POA,,,BD/DR,F10AK0074 01
AK Nome Census Area,"NOME, NW. OF",CAPE PRINCE WALES AWS,,POD POA,,,CON/HTRW,F10AK0074 02
AK Nome Census Area,"NOME, NW. OF",CAPE PRINCE WALES AWS,,POD POA,,,HTRW,F10AK0074 03
AK Nome Census Area,"NOME, SE. OF",CAPE NOME ACS,,POD POA,,,BD/DR,F10AK0293 01
AK Nome Census Area,"NOME, SE. OF",CAPE NOME ACS,,POD POA,,,CON/HTRW,F10AK0293 02
AK Nome Census Area,"NOME, SE. OF",CAPE NOME ACS,,POD POA,,,HTRW,F10AK0293 03
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,BD/DR,F10AK0052 01
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,CON/HTRW,F10AK0052 02
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 03
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 04
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 05
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 06
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 07
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 08
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 09
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,HTRW,F10AK0052 10
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME,",NOME AREA DEF REGION,,POD POA,,,CON/HTRW,F10AK0052 11
,SURROUNDING,,,,,,,
AK Nome Census Area,"NOME, WEST OF",CAPE RODNEY (MIL SITE),,POD POA,,,BD/DR,F10AK0294 01
AK Nome Census Area,"NOME, WEST OF",CAPE RODNEY (MIL SITE),,POD POA,,,CON/HTRW,F10AK0294 02
AK Nome Census Area,"NOME, WEST OF",CAPE RODNEY (MIL SITE),,POD POA,,,HTRW,F10AK0294 03
AK Nome Census Area,"NOME, WEST OF",SLEDGE ISLAND,,POD POA,,,CON/HTRW,F10AK0614 01
AK North Slope Borough,"NORTH SLOPE,",DEMARCATION BAY DEW,,POD POA,,,BD/DR,F10AK0010 01
AK North Slope Borough,"NORTH SLOPE,",DEMARCATION BAY DEW,,POD POA,,,CON/HTRW,F10AK0010 02
,ANWR,,,,,,,
AK North Slope Borough,"NORTH SLOPE,",DEMARCATION BAY DEW,,POD POA,,,HTRW,F10AK0010 03
,ANWR,,,,,,,
AK North Slope Borough,"NORTH SLOPE,",CAPE THOMPSON NAV SITE,,POD POA,,,BD/DR,F10AK0001 01
,WEST,,,,,,,
AK North Slope Borough,"NORTH SLOPE,",CAPE THOMPSON NAV SITE,,POD POA,,,CON/HTRW,F10AK0001 02
,WEST,,,,,,,
AK North Slope Borough,"NORTH SLOPE,",CAPE THOMPSON NAV SITE,,POD POA,,,HTRW,F10AK0001 03
,WEST,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,BD/DR,F10AK0347 01
Area,,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,CON/HTRW,F10AK0347 02
Area,,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,HTRW,F10AK0347 03
Area,,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,HTRW,F10AK0347 04
Area,,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,HTRW,F10AK0347 05
Area,,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,HTRW,F10AK0347 06
Area,,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY STAGING FLD,,POD POA,,,PRP/HTRW,F10AK0347 07
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY ACS,,POD POA,,,CON/HTRW,F10AK0177 02
Area,JUNCTION,,,,,,,
AK Southeast Fairbanks Census,NORTHWAY,NORTHWAY ACS,,POD POA,,,HTRW,F10AK0177 03
Area,JUNCTION,,,,,,,
AK North Slope Borough,"NR DEADHORSE,",MCINTYRE DEW STA(POW C,,POD POA,,,HTRW,F10AK0023 03
,NSB,,,,,,,
AK North Slope Borough,NR KAKTOVIK,BROWNLOW POINT DEW,,POD POA,,,BD/DR,F10AK0005 01
AK North Slope Borough,NR KAKTOVIK,BROWNLOW POINT DEW,,POD POA,,,CON/HTRW,F10AK0005 02
AK North Slope Borough,NR KAKTOVIK,BROWNLOW POINT DEW,,POD POA,,,HTRW,F10AK0005 03
AK North Slope Borough,NR KAKTOVIK,BROWNLOW POINT DEW,,POD POA,,,HTRW,F10AK0005 04
AK North Slope Borough,NR KAKTOVIK,MANNING POINT DEW,,POD POA,,,CON/HTRW,F10AK0007 02
AK North Slope Borough,NR KAKTOVIK,MANNING POINT DEW,,POD POA,,,HTRW,F10AK0007 03
AK North Slope Borough,NR KAKTOVIK,MANNING POINT DEW,,POD POA,,,CON/HTRW,F10AK0007 04
AK North Slope Borough,"NR KAKTOVIK, NSB",NUVAGAPAK PT DEW(BAR A,,POD POA,,,BD/DR,F10AK0009 01
AK North Slope Borough,"NR KAKTOVIK, NSB",NUVAGAPAK PT DEW(BAR A,,POD POA,,,CON/HTRW,F10AK0009 02
AK North Slope Borough,"NR KAKTOVIK, NSB",NUVAGAPAK PT DEW(BAR A,,POD POA,,,HTRW,F10AK0009 03
AK Sitka Borough,NW. OF SITKA,FORT RAY,,POD POA,,,BD/DR,F10AK0349 01
AK North Slope Borough,POINT HOPE,CAPE SABINE DEW(LIZ-A),,POD POA,,,CON/HTRW,F10AK0002 02
AK North Slope Borough,POINT HOPE,CAPE SABINE DEW(LIZ-A),,POD POA,,,HTRW,F10AK0002 03
AK Lake And Peninsula Borough,PORT HEIDEN,PORT HEIDEN,,POD POA,,,CON/HTRW,F10AK0027 02
AK Lake And Peninsula Borough,PORT HEIDEN,PORT HEIDEN,,POD POA,,,HTRW,F10AK0027 03
AK Lake And Peninsula Borough,PORT HEIDEN,PORT HEIDEN,,POD POA,,,HTRW,F10AK0027 04
AK Lake And Peninsula Borough,PORT HEIDEN,PORT HEIDEN,,POD POA,,,HTRW,F10AK0027 05
AK Aleutians East Borough,PORT MOLLER,PORT MOLLER,,POD POA,,,BD/DR,F10AK0028 01
AK Aleutians East Borough,PORT MOLLER,PORT MOLLER,,POD POA,,,CON/HTRW,F10AK0028 02
AK Aleutians East Borough,PORT MOLLER,PORT MOLLER,,POD POA,,,HTRW,F10AK0028 03
AK North Slope Borough,"PRUDOE BAY, SE.",JUNIPER CK FUEL DUMP,,POD POA,,,CON/HTRW,F10AK0844 00
,OF,,,,,,,
AK North Slope Borough,"PRUDOE BAY, SE.",JUNIPER CK FUEL DUMP,,POD POA,,,HTRW,F10AK0844 01
,OF,,,,,,,
AK North Slope Borough,"PT. BARROW, SW.",SKULL CLIFF LORAN ANNEX DEW,,POD POA,,,CON/HTRW,F10AK0215 02
,OF,,,,,,,
AK North Slope Borough,"PT. BARROW, SW.",SKULL CLIFF LORAN ANNEX DEW,,POD POA,,,HTRW,F10AK0215 03
,OF,,,,,,,
AK Kenai Peninsula Borough,S. OF SEWARD,BARWELL ISLAND,,POD POA,,,CON/HTRW,F10AK0058 01
AK Kenai Peninsula Borough,SEWARD,"CAINES HEAD, FT MCGILV",,POD POA,,,CON/HTRW,F10AK0039 02
AK Kenai Peninsula Borough,SEWARD,"CAINES HEAD, FT MCGILV",,POD POA,,,HTRW,F10AK0039 03
AK Valdez-cordova Census Area,SEWARD/CORDOV,MIDDLETON ISL AFS,,POD POA,,,HTRW,F10AK0158 03
AK Sitka Borough,SITKA,"FORT ROUSSEAU, SITKA",,POD POA,,,CON/HTRW,F10AK0350 03
AK Sitka Borough,SITKA,"FORT ROUSSEAU, SITKA",,POD POA,,,HTRW,F10AK0350 04
AK Sitka Borough,SITKA,"FORT ROUSSEAU, SITKA",,POD POA,,,HTRW,F10AK0350 05
AK Sitka Borough,SITKA,MT.EDGECUMBE/SITKA NOB,,POD POA,,,CON/HTRW,F10AK0496 02
AK Sitka Borough,SITKA,MT.EDGECUMBE/SITKA NOB,,POD POA,,,HTRW,F10AK0496 03
AK Sitka Borough,SITKA,MT.EDGECUMBE/SITKA NOB,,POD POA,,,PRP/HTRW,F10AK0496 04
AK Sitka Borough,"SITKA, NW. OF",KASIANA ISLS BASE STA,,POD POA,,,CON/HTRW,F10AK0132 01
AK Sitka Borough,"SITKA, NW. OF",KASIANA ISLS BASE STA,,POD POA,,,BD/DR,F10AK0132 02
AK Sitka Borough,"SITKA, SE. OF",FORT PIERCE,,POD POA,,,CON/HTRW,F10AK0066 01
AK Sitka Borough,"SITKA, WEST -","FORT BABCOCK, SITKA",,POD POA,,,CON/HTRW,F10AK0353 03
,KRUZO,,,,,,,
AK Sitka Borough,"SITKA, WEST -","FORT BABCOCK, SITKA",,POD POA,,,HTRW,F10AK0353 04
,KRUZO,,,,,,,
AK Nome Census Area,ST LAWRENCE,GAMBELL,,POD POA,,,BD/DR,F10AK0696 01
,ISLAND,,,,,,,
AK Nome Census Area,ST LAWRENCE,GAMBELL,,POD POA,,,CON/HTRW,F10AK0696 02
,ISLAND,,,,,,,
AK Nome Census Area,ST LAWRENCE,GAMBELL,,POD POA,,,HTRW,F10AK0696 03
,ISLAND,,,,,,,
AK Nome Census Area,ST LAWRENCE,GAMBELL,,POD POA,,,MMRP,F10AK0696 04
AK Nome Census Area,ST LAWRENCE,NE CAPE (ST LAWRENCE ISLAND),,POD POA,,,BD/DR,F10AK0969 01
,ISLAND,,,,,,,
AK Nome Census Area,ST LAWRENCE,NE CAPE (ST LAWRENCE ISLAND),,POD POA,,,CON/HTRW,F10AK0969 02
,ISLAND,,,,,,,
AK Nome Census Area,ST LAWRENCE,NE CAPE (ST LAWRENCE ISLAND),,POD POA,,,HTRW,F10AK0969 03
,ISLAND,,,,,,,
AK Nome Census Area,ST LAWRENCE,NE CAPE (ST LAWRENCE ISLAND),,POD POA,,,CON/HTRW,F10AK0969 05
,ISLAND,,,,,,,
AK Aleutians West Census Area,ST PAUL/ST,ST PAUL/ST GEORGE,,POD POA,,,BD/DR,F10AK0861 01
,GEORGE,,,,,,,
AK Nome Census Area,"TELLER, 20 MILES",AM RIVER AIR BASE,,POD POA,,,CON/HTRW,F10AK0814 01
,N,,,,,,,
AK Nome Census Area,"TELLER, NORTH",TELLER SUPPLY,,POD POA,,,BD/DR,F10AK0231 01
,OF,,,,,,,
AK Nome Census Area,TELLER/KOUGARO,DAVIDSON-S LANDING,,POD POA,,,BD/DR,F10AK0086 01
,K,,,,,,,
AK Nome Census Area,TELLER/KOUGARO,DAVIDSON-S LANDING,,POD POA,,,CON/HTRW,F10AK0086 02
,K,,,,,,,
AK Nome Census Area,TELLER/KOUGARO,DAVIDSON-S LANDING,,POD POA,,,HTRW,F10AK0086 03
,K,,,,,,,
AK Southeast Fairbanks Census,TOK,TOK (ACS RADIO RELAY),,POD POA,,,CON/HTRW,F10AK0234 01
Area,,,,,,,,
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,CON/HTRW,F10AK0243 02
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 03
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 05
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 06
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 07
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 08
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 09
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,CON/HTRW,F10AK0243 10
AK North Slope Borough,UMIAT,UMIAT AFS,,POD POA,,,HTRW,F10AK0243 11
AK Nome Census Area,"UNALAKLEET, E.",NORTH RIVER RRS ANX,,POD POA,,,BD/DR,F10AK0037 01
,OF,,,,,,,
AK Nome Census Area,"UNALAKLEET, E.",NORTH RIVER RRS ANX,,POD POA,,,CON/HTRW,F10AK0037 02
,OF,,,,,,,
AK Nome Census Area,"UNALAKLEET, E.",NORTH RIVER RRS ANX,,POD POA,,,HTRW,F10AK0037 03
,OF,,,,,,,
AK Nome Census Area,"UNALAKLEET, NE.",UNALAKLEET AFSTA,,POD POA,,,BD/DR,F10AK0036 01
AK Nome Census Area,"UNALAKLEET, NE.",UNALAKLEET AFSTA,,POD POA,,,CON/HTRW,F10AK0036 02
AK Nome Census Area,"UNALAKLEET, NE.",UNALAKLEET AFSTA,,POD POA,,,HTRW,F10AK0036 03
AK Nome Census Area,"UNALAKLEET, NE.",UNALAKLEET AFSTA,,POD POA,,,HTRW,F10AK0036 05
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,CON/HTRW,F10AK0841 01
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,PRP/HTRW,F10AK0841 02
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,HTRW,F10AK0841 03
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,HTRW,F10AK0841 04
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,HTRW,F10AK0841 05
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,HTRW,F10AK0841 06
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,MMRP/CWM,F10AK0841 07
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,CON/HTRW,F10AK0841 08
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,MMRP,F10AK0841 09
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,PRP/HTRW,F10AK0841 10
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,CON/HTRW,F10AK0841 11
AK Aleutians West Census Area,UNALASKA,AMAKNAK,,POD POA,,,CON/HTRW,F10AK0841 12
AK Aleutians West Census Area,UNALASKA,UGADAGA BAY STA,,POD POA,,,HTRW,F10AK0241 03
AK Aleutians West Census Area,"UNALASKA,",CAPE PROMINENCE AWS,,POD POA,,,CON/HTRW,F10AK0806 01
,SOUTH OF,,,,,,,
AK Aleutians East Borough,UNIMAK ISLAND,CAPE SARICHEF,,POD POA,,,BD/DR,F10AK0502 01
AK Aleutians East Borough,UNIMAK ISLAND,CAPE SARICHEF,,POD POA,,,CON/HTRW,F10AK0502 02
AK Aleutians East Borough,UNIMAK ISLAND,CAPE SARICHEF,,POD POA,,,HTRW,F10AK0502 03
AK Aleutians East Borough,UNIMAK ISLAND,SCOTCH CAP,,POD POA,,,BD/DR,F10AK0031 01
AK Aleutians East Borough,UNIMAK ISLAND,SCOTCH CAP,,POD POA,,,CON/HTRW,F10AK0031 02
AK Aleutians East Borough,UNIMAK ISLAND,SCOTCH CAP,,POD POA,,,HTRW,F10AK0031 03
AK North Slope Borough,WEST OF,ICY CPE DEW STA(LIZ-B),,POD POA,,,BD/DR,F10AK0003 01
,PT.BARROW,,,,,,,
AK North Slope Borough,WEST OF,ICY CPE DEW STA(LIZ-B),,POD POA,,,CON/HTRW,F10AK0003 02
,PT.BARROW,,,,,,,
AK North Slope Borough,WEST OF,ICY CPE DEW STA(LIZ-B),,POD POA,,,HTRW,F10AK0003 03
,PT.BARROW,,,,,,,
AK North Slope Borough,WEST OF,PEARD BAY DEW (LIZ-C),,POD POA,,,BD/DR,F10AK0004 01
,PT.BARROW,,,,,,,
AK North Slope Borough,WEST OF,PEARD BAY DEW (LIZ-C),,POD POA,,,CON/HTRW,F10AK0004 02
,PT.BARROW,,,,,,,
AK North Slope Borough,WEST OF,PEARD BAY DEW (LIZ-C),,POD POA,,,HTRW,F10AK0004 03
,PT.BARROW,,,,,,,
AK Valdez-cordova Census Area,WHITTIER,PORT OF WHITTIER,,POD POA,,,BD/DR,F10AK1000 01
AK Valdez-cordova Census Area,WHITTIER,PORT OF WHITTIER,,POD POA,,,CON/HTRW,F10AK1000 02
AK Valdez-cordova Census Area,WHITTIER,PORT OF WHITTIER,,POD POA,,,HTRW,F10AK1000 03
AK Valdez-cordova Census Area,WHITTIER,PORT OF WHITTIER,,POD POA,,,HTRW,F10AK1000 04
AK Valdez-cordova Census Area,WHITTIER,PORT OF WHITTIER,,POD POA,,,PRP/HTRW,F10AK1000 05
AK Yakutat Borough,YAKUTAT,CAPE YAKATAGA RRS,,POD POA,,,CON/HTRW,F10AK0788 02
AK Yakutat Borough,YAKUTAT,CAPE YAKATAGA RRS,,POD POA,,,HTRW,F10AK0788 03
AK Yakutat Borough,YAKUTAT,CAPE YAKATAGA RRS,,POD POA,,,PRP/HTRW,F10AK0788 04
AK Yakutat Borough,YAKUTAT,YAKUTAT AFB,,POD POA,,,CON/HTRW,F10AK0606 01
AK Yakutat Borough,YAKUTAT,YAKUTAT AFB,,POD POA,,,HTRW,F10AK0606 02
AK Yakutat Borough,YAKUTAT,YAKUTAT AFB,,POD POA,,,CON/HTRW,F10AK0606 04
AK Yakutat Borough,YAKUTAT,YAKUTAT AFB,,POD POA,,,CON/HTRW,F10AK0606 05
AK Yakutat Borough,YAKUTAT,YAKUTAT AFB,,POD POA,,,CON/HTRW,F10AK0606 06
AK Yakutat Borough,YAKUTAT,YAKUTAT AFB,,POD POA,,,CON/HTRW,F10AK0606 07
AK Yakutat Borough,"YAKUTAT, SW. OF",OCEAN CAPE RR SITE,,POD POA,,,CON/HTRW,F10AK0747 01
AK Yakutat Borough,"YAKUTAT, SW. OF",OCEAN CAPE RR SITE,,POD POA,,,HTRW,F10AK0747 03
